Numero Processo,Nome,Data,Protocolo,Título,Texto 3,Texto 4,Texto 5,Texto 6,Texto 7,Texto 8,Texto 9
0036.584414/2021-12,Everton Lopes de Brito,09/03/2023,,SEI/RO - 0036434759 - Certidão,Certidão n°250,"Venho por meio desta certidão validar o Quadro Comparativo de Preços (0036434729), subsidiado pelas cotações de Banco de Preços (0036434639), obtidas no sitehttps://www.bancodeprecos.com.br/e Fundo Nacional de Saúde (0036434701), obtidas no sitehttps://consultafns.saude.gov.br/#/equipamentoas quais contemplam os preços praticados no âmbito dos órgãos e entidades da Administração Pública e pelas cotações (0036434646), obtidas nos sites:",-https://www.fasthospitalar.com.br/martelo-universal-500-g-para-cirurgia-ossea/p,-https://www.cirurgicapassos.com.br/martelo-universal-500-g-0890-abc?variant_id=3795,-https://www.produtosmedicos.com.br/martelo-universal?variant_id=2953#accessibletabscontent0-0,-https://www.magazineluiza.com.br/homogeneizador-42-tubos-4ml-bivolt-kacil/p/gab46797f4/pf/hesm/?&seller_id=rmdistribuidoraparaprodutosdasau,-https://www.cienlab.com.br/homogeneizador-de-tubos-solucoes-42-tubos-de-10-a-15ml-bivolt.html
0036.584414/2021-12,Gerente,09/03/2023,,SEI/RO - 0036434759 - Certidão,Certidão n°250,"Venho por meio desta certidão validar o Quadro Comparativo de Preços (0036434729), subsidiado pelas cotações de Banco de Preços (0036434639), obtidas no sitehttps://www.bancodeprecos.com.br/e Fundo Nacional de Saúde (0036434701), obtidas no sitehttps://consultafns.saude.gov.br/#/equipamentoas quais contemplam os preços praticados no âmbito dos órgãos e entidades da Administração Pública e pelas cotações (0036434646), obtidas nos sites:",-https://www.fasthospitalar.com.br/martelo-universal-500-g-para-cirurgia-ossea/p,-https://www.cirurgicapassos.com.br/martelo-universal-500-g-0890-abc?variant_id=3795,-https://www.produtosmedicos.com.br/martelo-universal?variant_id=2953#accessibletabscontent0-0,-https://www.magazineluiza.com.br/homogeneizador-42-tubos-4ml-bivolt-kacil/p/gab46797f4/pf/hesm/?&seller_id=rmdistribuidoraparaprodutosdasau,-https://www.cienlab.com.br/homogeneizador-de-tubos-solucoes-42-tubos-de-10-a-15ml-bivolt.html
0036.584414/2021-12,Gerente,09/03/2023,0036434759,SEI/RO - 0036434759 - Certidão,Certidão n°250,"Venho por meio desta certidão validar o Quadro Comparativo de Preços (0036434729), subsidiado pelas cotações de Banco de Preços (0036434639), obtidas no sitehttps://www.bancodeprecos.com.br/e Fundo Nacional de Saúde (0036434701), obtidas no sitehttps://consultafns.saude.gov.br/#/equipamentoas quais contemplam os preços praticados no âmbito dos órgãos e entidades da Administração Pública e pelas cotações (0036434646), obtidas nos sites:",-https://www.fasthospitalar.com.br/martelo-universal-500-g-para-cirurgia-ossea/p,-https://www.cirurgicapassos.com.br/martelo-universal-500-g-0890-abc?variant_id=3795,-https://www.produtosmedicos.com.br/martelo-universal?variant_id=2953#accessibletabscontent0-0,-https://www.magazineluiza.com.br/homogeneizador-42-tubos-4ml-bivolt-kacil/p/gab46797f4/pf/hesm/?&seller_id=rmdistribuidoraparaprodutosdasau,-https://www.cienlab.com.br/homogeneizador-de-tubos-solucoes-42-tubos-de-10-a-15ml-bivolt.html
0050.071690/2022-18,CARLA PATRÍCIA ALVES DA SILVA,09/05/2023,,SEI/RO - 0038056993 - Ofício,Ofício nº 16000/2023/SESAU-GECOMP,Ao Excelentíssimo Sr.,Israel Evangelista da Silva,Superintendente,"Edifício Rio Pacaás Novos, Av. Farquar, 2986 - Pedrinhas",CEP: 76801-470  –  Porto Velho - RO,
0050.071690/2022-18,Gerente,09/05/2023,0038056993,SEI/RO - 0038056993 - Ofício,Ofício nº 16000/2023/SESAU-GECOMP,Ao Excelentíssimo Sr.,Israel Evangelista da Silva,Superintendente,"Edifício Rio Pacaás Novos, Av. Farquar, 2986 - Pedrinhas",CEP: 76801-470  –  Porto Velho - RO,
0050.072218/2022-94,Aurielio Aguiar da Silva,11/05/2023,,SEI/RO - 0038146058 - Despacho,DESPACHO,De:HRE-ASTEC,Para: SEUSAU-GERCOMP,Processo Nº:  0050.072218/2022-94,Assunto:Solicitação de Informações.,,"Senhor(a), considerando o memorando0038118221, venho informar quanto a solicitação de aquisição do Cardioversor, está inclusa no Programa anual de Saúde - PAS 2023, desta unidade, conforme o numero da Ação 5.6.10.57."
0050.072218/2022-94,Assessor(a),11/05/2023,0038146058,SEI/RO - 0038146058 - Despacho,DESPACHO,De:HRE-ASTEC,Para: SEUSAU-GERCOMP,Processo Nº:  0050.072218/2022-94,Assunto:Solicitação de Informações.,,"Senhor(a), considerando o memorando0038118221, venho informar quanto a solicitação de aquisição do Cardioversor, está inclusa no Programa anual de Saúde - PAS 2023, desta unidade, conforme o numero da Ação 5.6.10.57."
0036.019918/2023-10,TALITA BRILHANTE SANTANA AZEVEDO,04/07/2023,,SEI/RO - 0039667025 - Informação,Informação nº 1293/2023/SESAU-GECOMP,"Informamos que foi disponibilizado o bloco de assinaturanº 1094053, na presente data, contendo oEstudo Técnico Preliminar - ETP - SESAU-GECOMP(0039337102), para o setorCEPEM-DC, conforme solicitado no DespachoCEPEM-GA(0039663544).",,"Porto Velho/RO, 04 de julho de 2023.",,TALITA BRILHANTE SANTANA AZEVEDO,Chefe de Núcleo
0036.019918/2023-10,Técnico,04/07/2023,0039667025,SEI/RO - 0039667025 - Informação,Informação nº 1293/2023/SESAU-GECOMP,"Informamos que foi disponibilizado o bloco de assinaturanº 1094053, na presente data, contendo oEstudo Técnico Preliminar - ETP - SESAU-GECOMP(0039337102), para o setorCEPEM-DC, conforme solicitado no DespachoCEPEM-GA(0039663544).",,"Porto Velho/RO, 04 de julho de 2023.",,TALITA BRILHANTE SANTANA AZEVEDO,Chefe de Núcleo
0036.038658/2023-81,Michelma Dantas do Nascimento Higa,10/11/2023,,SEI/RO - 0043261670 - Informação,Informação nº 2691/2023/SESAU-GECOMP,"Assunto: Contratação de empresa especializada para prestação de Serviços de Manutenção Preventiva e Corretiva em Grupo Gerador, quadro de transferência / Subestação Abaixadora, com fornecimento de quaisquer componentes e troca de peças novas e originais, de forma contínua, visando atender o Hospital Regional São Francisco Do Guaporé - HRSF, por um período de 12 (doze) meses.",,Senhor (a),,"Considerando a elaboração doTermo de Referência (0043166453) e SAMS (0043261457), o qual estão disponibilizados  através do bloco de assinatura (324137), na data de hoje, 6 de novembro de 2023, para análise técnica e posterior assinatura dos revisores abaixo elencados:",
0036.038658/2023-81,Assessor(a),10/11/2023,0043261670,SEI/RO - 0043261670 - Informação,Informação nº 2691/2023/SESAU-GECOMP,"Assunto: Contratação de empresa especializada para prestação de Serviços de Manutenção Preventiva e Corretiva em Grupo Gerador, quadro de transferência / Subestação Abaixadora, com fornecimento de quaisquer componentes e troca de peças novas e originais, de forma contínua, visando atender o Hospital Regional São Francisco Do Guaporé - HRSF, por um período de 12 (doze) meses.",,Senhor (a),,"Considerando a elaboração doTermo de Referência (0043166453) e SAMS (0043261457), o qual estão disponibilizados  através do bloco de assinatura (324137), na data de hoje, 6 de novembro de 2023, para análise técnica e posterior assinatura dos revisores abaixo elencados:",
0036.048286/2023-00,Caroline Kohara Melchior,06/12/2023,,SEI/RO - 0044155238 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 36/2023/CEMETRON-ASTEC,,N/A,,N/A,N/A,N/A
0036.048286/2023-00,Diretor(a) Adjunto(a),06/12/2023,0044155238,SEI/RO - 0044155238 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 36/2023/CEMETRON-ASTEC,,N/A,,N/A,N/A,N/A
0049.003281/2023-09,DIEGO ESCOBAR,19/02/2024,,SEI/RO - 0045912446 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-DG / HB-DIRTEC / HB-GAD / SESAU-GECOMP,Processo Nº:  0049.003281/2023-09,Assunto: ESCLARECIMENTOS E ALTERAÇÕES,,"Senhor(a),"
0049.003281/2023-09,Médico(a),19/02/2024,0045912446,SEI/RO - 0045912446 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-DG / HB-DIRTEC / HB-GAD / SESAU-GECOMP,Processo Nº:  0049.003281/2023-09,Assunto: ESCLARECIMENTOS E ALTERAÇÕES,,"Senhor(a),"
0060.114123/2021-55,Cléber Moreira Sales,07/02/2022,,SEI/RO - 0023874475 - Despacho,DESPACHO,De: CEMETRON-SESMT,Para: SESAU-GECOMP,Processo Nº:  0060.114123/2021-55,Assunto:Atendida a falta de Anuência do Gestor.,,"Senhor(a),"
0060.114123/2021-55,Técnico(a) em Segurança do Trabalho,07/02/2022,0023874475,SEI/RO - 0023874475 - Despacho,DESPACHO,De: CEMETRON-SESMT,Para: SESAU-GECOMP,Processo Nº:  0060.114123/2021-55,Assunto:Atendida a falta de Anuência do Gestor.,,"Senhor(a),"
0036.078020/2022-01,MICHELLE DAHIANE DUTRA,25/11/2022,,SEI/RO - 0033920719 - Autorização,Autorização,"Considerando o pedido de abertura de processo administrativo de procedimento para aquisição em tela, conformeMemorando nº 1022/2022/SESAU-GECOMP(0033921054)fica autorizadaa abertura e o prosseguimento do pleito para as demais instruções processuais que ainda se faz necessário, ficando os atos de contratação vinculados ao atendimento das regras instituídas pelo Estatuto Nacional das Contratações Publicas, considerando o principio constitucional da isonomia, a seleção da proposta mais vantajosa para a administração e a promoção do desenvolvimento nacional sustentável, observando ainda os princípios básicos da legalidade, da impessoalidade, da moralidade, da igualdade, da publicidade, da probidade administrativa, vinculação ao instrumento convocatório, do julgamento objetivo e dos que lhes são correlatos,devendo a contratação vinculada à informação de que existe dotação orçamentária específica para a realização da despesa.","Determino aos setores responsáveis que elejam a forma legal e mais eficiente para a efetivação da contratação, e, sendo o caso de contratação direta, por dispensa e/ou inexigibilidade de licitação, submeta o feito à apreciação e manifestação prévia do setor jurídico quanto à legalidade do feito. Somente poderá se efetivar qualquer contratação, se os procedimentos levados a feito forem considerados legais e aprovados pelo órgão de assessoria jurídica competente.",,"Porto Velho, 25 de novembro de 2022.",,MICHELLE DAHIANE DUTRA
0036.078020/2022-01,Secretário(a) Executivo(a),25/11/2022,0033920719,SEI/RO - 0033920719 - Autorização,Autorização,"Considerando o pedido de abertura de processo administrativo de procedimento para aquisição em tela, conformeMemorando nº 1022/2022/SESAU-GECOMP(0033921054)fica autorizadaa abertura e o prosseguimento do pleito para as demais instruções processuais que ainda se faz necessário, ficando os atos de contratação vinculados ao atendimento das regras instituídas pelo Estatuto Nacional das Contratações Publicas, considerando o principio constitucional da isonomia, a seleção da proposta mais vantajosa para a administração e a promoção do desenvolvimento nacional sustentável, observando ainda os princípios básicos da legalidade, da impessoalidade, da moralidade, da igualdade, da publicidade, da probidade administrativa, vinculação ao instrumento convocatório, do julgamento objetivo e dos que lhes são correlatos,devendo a contratação vinculada à informação de que existe dotação orçamentária específica para a realização da despesa.","Determino aos setores responsáveis que elejam a forma legal e mais eficiente para a efetivação da contratação, e, sendo o caso de contratação direta, por dispensa e/ou inexigibilidade de licitação, submeta o feito à apreciação e manifestação prévia do setor jurídico quanto à legalidade do feito. Somente poderá se efetivar qualquer contratação, se os procedimentos levados a feito forem considerados legais e aprovados pelo órgão de assessoria jurídica competente.",,"Porto Velho, 25 de novembro de 2022.",,MICHELLE DAHIANE DUTRA
0036.584414/2021-12,Fabíola Menegasso Dias,13/03/2023,,SEI/RO - 0036442123 - Despacho,DESPACHO,À,,SECRETARIA DE ESTADO DA SAÚDE - SESAU,,PROCESSO ADMINISTRATIVO Nº:0036.584414/2021-12,"OBJETO:REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS DE USO PERMANENTE MÉDICO/ASSISTENCIAL, DE HOTELARIA HOSPITALAR, RAIO-X, LABORATORIAL E DE LAVANDEIRA HOSPITALAR, PARA O HOSPITAL DE RETAGUARDA DE RONDÔNIA - HC, INCLUINDO, ASSISTÊNCIA TÉCNICA, MANUTENÇÃO PREVENTIVA E CORRETIVA COM FORNECIMENTO/REPOSIÇÃO DE PEÇAS, POR UM PERÍODO DE 12 (DOZE) MESES."
0036.584414/2021-12,Diretor(a) Executivo(a),13/03/2023,,SEI/RO - 0036442123 - Despacho,DESPACHO,À,,SECRETARIA DE ESTADO DA SAÚDE - SESAU,,PROCESSO ADMINISTRATIVO Nº:0036.584414/2021-12,"OBJETO:REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS DE USO PERMANENTE MÉDICO/ASSISTENCIAL, DE HOTELARIA HOSPITALAR, RAIO-X, LABORATORIAL E DE LAVANDEIRA HOSPITALAR, PARA O HOSPITAL DE RETAGUARDA DE RONDÔNIA - HC, INCLUINDO, ASSISTÊNCIA TÉCNICA, MANUTENÇÃO PREVENTIVA E CORRETIVA COM FORNECIMENTO/REPOSIÇÃO DE PEÇAS, POR UM PERÍODO DE 12 (DOZE) MESES."
0036.584414/2021-12,Diretor(a) Executivo(a),13/03/2023,0036442123,SEI/RO - 0036442123 - Despacho,DESPACHO,À,,SECRETARIA DE ESTADO DA SAÚDE - SESAU,,PROCESSO ADMINISTRATIVO Nº:0036.584414/2021-12,"OBJETO:REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS DE USO PERMANENTE MÉDICO/ASSISTENCIAL, DE HOTELARIA HOSPITALAR, RAIO-X, LABORATORIAL E DE LAVANDEIRA HOSPITALAR, PARA O HOSPITAL DE RETAGUARDA DE RONDÔNIA - HC, INCLUINDO, ASSISTÊNCIA TÉCNICA, MANUTENÇÃO PREVENTIVA E CORRETIVA COM FORNECIMENTO/REPOSIÇÃO DE PEÇAS, POR UM PERÍODO DE 12 (DOZE) MESES."
0050.072218/2022-94,Caroline Kohara Melchior,11/05/2023,,SEI/RO - 0038155660 - Despacho,DESPACHO,De:CEMETRON-DG,Para: CEMETRON-ASTEC,Processo Nº:0050.072218/2022-94,Assunto:Memorando nº 547/2023/SESAU-GECOMP (0038118221),,"Senhor(a),"
0050.072218/2022-94,Diretor(a) Adjunto(a),11/05/2023,0038155660,SEI/RO - 0038155660 - Despacho,DESPACHO,De:CEMETRON-DG,Para: CEMETRON-ASTEC,Processo Nº:0050.072218/2022-94,Assunto:Memorando nº 547/2023/SESAU-GECOMP (0038118221),,"Senhor(a),"
0050.071690/2022-18,Laura Bany de Araujo Pinto,14/05/2023,,SEI/RO - 0038186060 - Despacho,DESPACHO,De: SESAU-GECOMP.,Para: JPII-DG; SESAU-HRB; HB-DG; HRSF-DG; HRE-DG; SESAU-HC; HC-DG; SESAU-CDI.,Processo Nº:0050.071690/2022-18.,Assunto: Solicitação de Informações.,,"Senhores(as),"
0050.071690/2022-18,Gerente,15/05/2023,,SEI/RO - 0038186060 - Despacho,DESPACHO,De: SESAU-GECOMP.,Para: JPII-DG; SESAU-HRB; HB-DG; HRSF-DG; HRE-DG; SESAU-HC; HC-DG; SESAU-CDI.,Processo Nº:0050.071690/2022-18.,Assunto: Solicitação de Informações.,,"Senhores(as),"
0050.071690/2022-18,Gerente,15/05/2023,0038186060,SEI/RO - 0038186060 - Despacho,DESPACHO,De: SESAU-GECOMP.,Para: JPII-DG; SESAU-HRB; HB-DG; HRSF-DG; HRE-DG; SESAU-HC; HC-DG; SESAU-CDI.,Processo Nº:0050.071690/2022-18.,Assunto: Solicitação de Informações.,,"Senhores(as),"
0036.019918/2023-10,Laura Bany de Araujo Pinto,05/07/2023,,SEI/RO - 0039702628 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: SESAU-SESMT,Processo Nº:  0036.019918/2023-10,Assunto: Padronização de descritivos de materiais ergonômicos.,,"Senhores,"
0036.019918/2023-10,Gerente,06/07/2023,,SEI/RO - 0039702628 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: SESAU-SESMT,Processo Nº:  0036.019918/2023-10,Assunto: Padronização de descritivos de materiais ergonômicos.,,"Senhores,"
0036.019918/2023-10,Gerente,06/07/2023,0039702628,SEI/RO - 0039702628 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: SESAU-SESMT,Processo Nº:  0036.019918/2023-10,Assunto: Padronização de descritivos de materiais ergonômicos.,,"Senhores,"
0036.038658/2023-81,Rodrigo Gomes da Silva,20/11/2023,,SEI/RO - 0043651017 - Despacho,DESPACHO,De:SESAU-CO,Para: SESAU-GECOMP,Processo Nº:  0036.038658/2023-81,"Assunto:Contratação de empresa especializada para prestação de Serviços de Manutenção Preventiva e Corretiva em Grupo Gerador, quadro de transferência / Subestação Abaixadora, com fornecimento de quaisquer componentes e troca de peças novas e originais, de forma contínua, visando atender o Hospital Regional São Francisco Do Guaporé - HRSF, por um período de 12 (doze) meses.",,"Prezados,"
0036.038658/2023-81,Engenheiro(a),20/11/2023,0043651017,SEI/RO - 0043651017 - Despacho,DESPACHO,De:SESAU-CO,Para: SESAU-GECOMP,Processo Nº:  0036.038658/2023-81,"Assunto:Contratação de empresa especializada para prestação de Serviços de Manutenção Preventiva e Corretiva em Grupo Gerador, quadro de transferência / Subestação Abaixadora, com fornecimento de quaisquer componentes e troca de peças novas e originais, de forma contínua, visando atender o Hospital Regional São Francisco Do Guaporé - HRSF, por um período de 12 (doze) meses.",,"Prezados,"
0036.033044/2023-11,Walter Junior Sales Villarruel,30/11/2023,,SEI/RO - 0043986712 - Despacho,DESPACHO,De: SESAU-GECOMP,Para: SESAU-GSG,Processo SEI:0036.033044/2023-11,Assunto:PUBLICAÇÃO DE AVISO.,,"Prezados Senhores,"
0036.033044/2023-11,Assessor(a),30/11/2023,0043986712,SEI/RO - 0043986712 - Despacho,DESPACHO,De: SESAU-GECOMP,Para: SESAU-GSG,Processo SEI:0036.033044/2023-11,Assunto:PUBLICAÇÃO DE AVISO.,,"Prezados Senhores,"
0036.048286/2023-00,Jéssica Tezori,06/12/2023,,SEI/RO - 0044201668 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 39/2023/HRSF-ASTEC,,N/A,N/A,N/A,N/A,N/A
0036.048286/2023-00,Diretor(a),06/12/2023,,SEI/RO - 0044201668 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 39/2023/HRSF-ASTEC,,N/A,N/A,N/A,N/A,N/A
0036.048286/2023-00,Diretor(a),06/12/2023,0044201668,SEI/RO - 0044201668 - Documento de Oficialização de Demanda,Documento de Oficialização de Demanda nº 39/2023/HRSF-ASTEC,,N/A,N/A,N/A,N/A,N/A
0049.003281/2023-09,DIEGO ESCOBAR,20/02/2024,,SEI/RO - 0046054751 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-GAD / SESAU-GECOMP,Processo Nº:  0049.003281/2023-09,Assunto:ALTERAÇÃO/REORGANIZAÇÃO DO TERMO DE REFERÊNCIA,,"Senhor(a),"
0049.003281/2023-09,Médico(a),20/02/2024,0046054751,SEI/RO - 0046054751 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-GAD / SESAU-GECOMP,Processo Nº:  0049.003281/2023-09,Assunto:ALTERAÇÃO/REORGANIZAÇÃO DO TERMO DE REFERÊNCIA,,"Senhor(a),"
0060.114123/2021-55,Luzilene Celeste Beira Pantoja,25/04/2022,,SEI/RO - 0028306657 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: Às Unidades Hospitalares,Processo Nº:  0060.114123/2021-55,Assunto:Providências quanto as informações necessárias.,,"Prezados Senhores,"
0060.114123/2021-55,Administrador(a),26/04/2022,,SEI/RO - 0028306657 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: Às Unidades Hospitalares,Processo Nº:  0060.114123/2021-55,Assunto:Providências quanto as informações necessárias.,,"Prezados Senhores,"
0060.114123/2021-55,Administrador(a),26/04/2022,,SEI/RO - 0028306657 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: Às Unidades Hospitalares,Processo Nº:  0060.114123/2021-55,Assunto:Providências quanto as informações necessárias.,,"Prezados Senhores,"
0060.114123/2021-55,Douglas Yorrara Oliveira Forte,26/04/2022,0028306657,SEI/RO - 0028306657 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: Às Unidades Hospitalares,Processo Nº:  0060.114123/2021-55,Assunto:Providências quanto as informações necessárias.,,"Prezados Senhores,"
0036.078020/2022-01,Lucas Gabriel de Oliveira,07/12/2022,,SEI/RO - 0034251613 - Informação,Informação nº 1090/2022/SESAU-GECOMP,,"Considerando a elaboração doTermo de Referência SESAU-GECOMP(ID -0034251809) eSAMS SESAU-GECOMP(ID -0034251984),  que visam o ""Registro de preços para futura e eventual aquisição de equipamentos hospitalares, visando atender o Hospital e Pronto Socorro João Paulo II - JP II, Assistência Médica Intensiva - AMI, Hospital Regional de São Francisco Guaporé - HRSF, Hospital Regional de Extrema - HRE, Hospital Infantil São Cosme e Damião - HICD e Policlínica Oswaldo Cruz - POC, por um período de 12 (doze) meses.""",Informamos que os documentos supramencionados foram disponibilizados no bloco de assinatura324137na data de 07 de dezembro de 2022 para revisão técnica e posterior assinatura do(a) revisor(a) técnico(a):,N/A,,"Salienta-se que as especificações e quantitativos anexos aos autos, que subsidiaram a elaboração do Termo de Referência e SAMS são de inteira responsabilidade de quem as forneceu, não possuindo esta Gerência, capacidade técnica para avaliar o conteúdo de tais informações e que a tramitação processual só ocorrerá após a(s) devida(s) assinatura(s) aqui solicitada(s)."
0036.078020/2022-01,Gerente,07/12/2022,,SEI/RO - 0034251613 - Informação,Informação nº 1090/2022/SESAU-GECOMP,,"Considerando a elaboração doTermo de Referência SESAU-GECOMP(ID -0034251809) eSAMS SESAU-GECOMP(ID -0034251984),  que visam o ""Registro de preços para futura e eventual aquisição de equipamentos hospitalares, visando atender o Hospital e Pronto Socorro João Paulo II - JP II, Assistência Médica Intensiva - AMI, Hospital Regional de São Francisco Guaporé - HRSF, Hospital Regional de Extrema - HRE, Hospital Infantil São Cosme e Damião - HICD e Policlínica Oswaldo Cruz - POC, por um período de 12 (doze) meses.""",Informamos que os documentos supramencionados foram disponibilizados no bloco de assinatura324137na data de 07 de dezembro de 2022 para revisão técnica e posterior assinatura do(a) revisor(a) técnico(a):,N/A,,"Salienta-se que as especificações e quantitativos anexos aos autos, que subsidiaram a elaboração do Termo de Referência e SAMS são de inteira responsabilidade de quem as forneceu, não possuindo esta Gerência, capacidade técnica para avaliar o conteúdo de tais informações e que a tramitação processual só ocorrerá após a(s) devida(s) assinatura(s) aqui solicitada(s)."
0036.078020/2022-01,Gerente,07/12/2022,0034251613,SEI/RO - 0034251613 - Informação,Informação nº 1090/2022/SESAU-GECOMP,,"Considerando a elaboração doTermo de Referência SESAU-GECOMP(ID -0034251809) eSAMS SESAU-GECOMP(ID -0034251984),  que visam o ""Registro de preços para futura e eventual aquisição de equipamentos hospitalares, visando atender o Hospital e Pronto Socorro João Paulo II - JP II, Assistência Médica Intensiva - AMI, Hospital Regional de São Francisco Guaporé - HRSF, Hospital Regional de Extrema - HRE, Hospital Infantil São Cosme e Damião - HICD e Policlínica Oswaldo Cruz - POC, por um período de 12 (doze) meses.""",Informamos que os documentos supramencionados foram disponibilizados no bloco de assinatura324137na data de 07 de dezembro de 2022 para revisão técnica e posterior assinatura do(a) revisor(a) técnico(a):,N/A,,"Salienta-se que as especificações e quantitativos anexos aos autos, que subsidiaram a elaboração do Termo de Referência e SAMS são de inteira responsabilidade de quem as forneceu, não possuindo esta Gerência, capacidade técnica para avaliar o conteúdo de tais informações e que a tramitação processual só ocorrerá após a(s) devida(s) assinatura(s) aqui solicitada(s)."
0036.584414/2021-12,CARLA PATRÍCIA ALVES DA SILVA,15/03/2023,,SEI/RO - 0036501538 - Ofício,Ofício nº 8067/2023/SESAU-GECOMP,"Ao Excelentíssimo Senhor,",Israel Evangelista da Silva,Superintendente,"Edifício Rio Pacaás Novos, Av. Farquar, 2986 - Pedrinhas",CEP:76801-470–Porto Velho - RO,
0036.584414/2021-12,Gerente,15/03/2023,,SEI/RO - 0036501538 - Ofício,Ofício nº 8067/2023/SESAU-GECOMP,"Ao Excelentíssimo Senhor,",Israel Evangelista da Silva,Superintendente,"Edifício Rio Pacaás Novos, Av. Farquar, 2986 - Pedrinhas",CEP:76801-470–Porto Velho - RO,
0036.584414/2021-12,Gerente,16/03/2023,,SEI/RO - 0036501538 - Ofício,Ofício nº 8067/2023/SESAU-GECOMP,"Ao Excelentíssimo Senhor,",Israel Evangelista da Silva,Superintendente,"Edifício Rio Pacaás Novos, Av. Farquar, 2986 - Pedrinhas",CEP:76801-470–Porto Velho - RO,
0036.584414/2021-12,maicon de sá santos,16/03/2023,0036501538,SEI/RO - 0036501538 - Ofício,Ofício nº 8067/2023/SESAU-GECOMP,"Ao Excelentíssimo Senhor,",Israel Evangelista da Silva,Superintendente,"Edifício Rio Pacaás Novos, Av. Farquar, 2986 - Pedrinhas",CEP:76801-470–Porto Velho - RO,
0036.465253/2021-51,Marcos Silva Almeida Junior,28/03/2023,,SEI/RO - 0036924527 - Certidão,Certidão n°255,,"Certifico e dou fé que, com base no art. 40, § 1º da Lei 8.666/93, vimos por meio desta certidão validar o documento (Id. SEI!0036924501), visto que, no formato que o arquivo foi anexado no sistema SEI, em PDF, não é possível remeter a assinatura eletrônica.",,"Porto Velho, 28 de março de 2023.",,Marcos Silva Almeida Júnior
0036.465253/2021-51,Assessor(a),28/03/2023,0036924527,SEI/RO - 0036924527 - Certidão,Certidão n°255,,"Certifico e dou fé que, com base no art. 40, § 1º da Lei 8.666/93, vimos por meio desta certidão validar o documento (Id. SEI!0036924501), visto que, no formato que o arquivo foi anexado no sistema SEI, em PDF, não é possível remeter a assinatura eletrônica.",,"Porto Velho, 28 de março de 2023.",,Marcos Silva Almeida Júnior
0050.072218/2022-94,Aurielio Aguiar da Silva,11/05/2023,,SEI/RO - 0038158246 - Despacho,DESPACHO,De:HRE-ASTEC,Para: SEUSAU-GERCOMP,Processo Nº:  0050.072218/2022-94,Assunto:Solicitação de Informações.,,"Senhor(a), para melhor compreenção segue a foto em Anexo PAS 2023."
0050.072218/2022-94,Assessor(a),11/05/2023,0038158246,SEI/RO - 0038158246 - Despacho,DESPACHO,De:HRE-ASTEC,Para: SEUSAU-GERCOMP,Processo Nº:  0050.072218/2022-94,Assunto:Solicitação de Informações.,,"Senhor(a), para melhor compreenção segue a foto em Anexo PAS 2023."
0050.071690/2022-18,ADRIANA BORGES DE OLIVEIRA,15/05/2023,,SEI/RO - 0038228297 - Despacho,DESPACHO,De: HRSF-ASTEC,Para: SESAU-GECOMP,Processo n.º:  0050.071690/2022-18,Assunto:Resposta ao Despacho (0038186060),,"Senhores (a),"
0050.071690/2022-18,Auxiliar Administrativo,15/05/2023,0038228297,SEI/RO - 0038228297 - Despacho,DESPACHO,De: HRSF-ASTEC,Para: SESAU-GECOMP,Processo n.º:  0050.071690/2022-18,Assunto:Resposta ao Despacho (0038186060),,"Senhores (a),"
0036.019918/2023-10,Laura Bany de Araujo Pinto,05/07/2023,,SEI/RO - 0039703666 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: SESAU-CAP,Processo Nº:  0036.019918/2023-10,Assunto: Padronização de descritivos de materiais de mobiliário geral.,,"Senhores,"
0036.019918/2023-10,Gerente,06/07/2023,,SEI/RO - 0039703666 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: SESAU-CAP,Processo Nº:  0036.019918/2023-10,Assunto: Padronização de descritivos de materiais de mobiliário geral.,,"Senhores,"
0036.019918/2023-10,Gerente,06/07/2023,0039703666,SEI/RO - 0039703666 - Despacho,DESPACHO,De:SESAU-GECOMP,Para: SESAU-CAP,Processo Nº:  0036.019918/2023-10,Assunto: Padronização de descritivos de materiais de mobiliário geral.,,"Senhores,"
