Documento,Setor,Processo
XI,HB-DIRTEC,0036.109115/2022-75
Anexo ESTATÍSTICAS HRRO (0051568488),SESAU-HRB,0036.109115/2022-75
Documento de Oficialização de Demanda 2 (0051551667),HEURO-ASGAB,0036.109115/2022-75
Anexo Planilhas 2022 (0051551983),HRSF-ASTEC,0036.109115/2022-75
Anexo Planilhas 2023 (0051551979),SAMD-COORD,0036.109115/2022-75
Anexo Planilhas 2024 (0051551987),HB-GAB,0036.109115/2022-75
Despacho 0051563501,HRE-DG,0036.109115/2022-75
Despacho 0051569381,SESAU-GECOMP,0036.109115/2022-75
Despacho 0051569402,SESAU-GECOMP,0036.109115/2022-75
Certidão 9 (0051594473),SESAU-GECOMP,0036.109115/2022-75
Despacho AMI (0051610397),SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 55 (0051591475),SESAU-GECOMP,0036.109115/2022-75
Despacho 0051576523,SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 16 (0051543412),SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 54 (0051587813),SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 21 (0051604933),HICD-GAF,0036.109115/2022-75
Documento de Oficialização de Demanda 7 (0051612905),SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 10 HOSPITAL DE BASE DR. ARY PINHEIRO (0051624095),SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 21 (0051670405),SESAU-GECOMP,0036.109115/2022-75
SAMS 0051842207,POC-DG,0036.109115/2022-75
Informação 4135 (0051843903),POC-GAD,0036.109115/2022-75
XII,SESAU-GECOMP,0036.109115/2022-75
Planilha de Referência - DESCONSIDERAR (0051959554),SESAU-GECOMP,0036.109115/2022-75
Planilha de Referência - DESCONSIDERAR (0051959612),SESAU-GECOMP,0036.109115/2022-75
Informação 4210 (0051959925),SESAU-GECOMP,0036.109115/2022-75
Estudo Técnico Preliminar (0051972848),SESAU-GECOMP,0036.109115/2022-75
Mapa de Risco 117 (0051974327),SESAU-GECOMP,0036.109115/2022-75
Informação 3895 (0051461483),SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 126 (0052088722),SESAU-GECOMP,0036.109115/2022-75
SAMS 0052099184,SESAU-GECOMP,0036.109115/2022-75
Informação 4316 (0052099530),SESAU-GECOMP,0036.109115/2022-75
Despacho 0052111757,SESAU-GECOMP,0036.109115/2022-75
Despacho 0052117292,SESAU-GECOMP,0036.109115/2022-75
Documento de Oficialização de Demanda 27 (0052185931),SESAU-GECOMP,0036.109115/2022-75
Planilha de Referência - PDF (0052186932),SESAU-GECOMP,0036.109115/2022-75
Planilha de Referência - EXCEL (0052186942),SESAU-GECOMP,0036.109115/2022-75
Cotação de Referência (0051959664),SESAU-NEOR,0036.109115/2022-75
Informação 4351 (0052186972),SESAU-GECOMP,0036.109115/2022-75
Estudo Técnico Preliminar (0052235256),SESAU-GECOMP,0036.109115/2022-75
Certidão 449 (0051459601),SESAU-GECOMP,0036.109115/2022-75
Informação 4386 (0052235292),SESAU-GECOMP,0036.109115/2022-75
Estudo Técnico Preliminar (0052519133),SESAU-GECOMP,0036.109115/2022-75
XIII,SESAU-GECOMP,0036.109115/2022-75
Certidão 516 (0052519141),SESAU-GECOMP,0036.109115/2022-75
Informação 4610 (0052519273),SESAU-GECOMP,0036.109115/2022-75
Requisição 0051110183,SESAU-GECOMP,0036.109115/2022-75
Informação 4735 (0052723398),SESAU-GECOMP,0036.109115/2022-75
Manual de Gestão e Fiscalização de Contratos (0052771529),SESAU-GECOMP,0036.109115/2022-75
Despacho 0052727457,SESAU-GECOMP,0036.109115/2022-75
Despacho 0052866663,SESAU-GECOMP,0036.109115/2022-75
0036.005381/2024-91,HICD-GAF,0036.005381/2024-91
I,HICD-GAF,0036.005381/2024-91
Termo de Abertura 0046607385,SESAU-NRS,0036.005381/2024-91
Memorando 34 (0045744435),HICD-GAF,0036.005381/2024-91
Despacho 0046350156,SESAU-GECOMP,0036.005381/2024-91
Documento de Oficialização de Demanda 22 (0046750919),SESAU-NPPS,0036.005381/2024-91
Memorando 294 (0047287533),SESAU-GECOMP,0036.005381/2024-91
Informação 1517 (0047335049),SESAU-SDTECS,0036.005381/2024-91
Memorando 295 (0047288498),HICD-GAF,0036.005381/2024-91
Despacho 0047358726,CAIS-GPES,0036.005381/2024-91
Errata 0048087063,CAIS-GPES,0036.005381/2024-91
Parecer 55 (0048485438),SESAU-GECOMP,0036.005381/2024-91
Errata 0048837869,SESAU-GECOMP,0036.005381/2024-91
Justificativa 0048722847,SESAU-GECOMP,0036.005381/2024-91
Memorando 654 (0048700048),SESAU-GECOMP,0036.005381/2024-91
Autorização 0048700021,SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - PDF (DESCONSIDERAR) (0048844662),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - PDF (PJ) - (DESCONSIDERAR) (0048844724),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - EXCEL - (DESCONSIDERAR) (0048844780),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - EXCEL (PJ) - (DESCONSIDERAR) (0048844820),SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - PDF - (DESCONSIDERAR) (0048844858),SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - PDF (PJ) - (DESCONSIDERAR) (0048844889),SESAU-GECOMP,0036.005381/2024-91
II,SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - EXCEL - (DESCONSIDERAR) (0048844933),SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - EXCEL (PJ) - (DESCONSIDERAR (0048844978),SESAU-GECOMP,0036.005381/2024-91
Relatório de Pesquisa de Preço - (DESCONSIDERAR) (0048845026),SESAU-GECOMP,0036.005381/2024-91
Informação 1820 (0048846067),SESAU-GECOMP,0036.005381/2024-91
Portaria n° 2550 de 16 de abril de 2024 (0048927062),SESAU-GECOMP,0036.005381/2024-91
Portaria n°1464 de 05 de março de 2024 (0048927106),SESAU-GECOMP,0036.005381/2024-91
Justificativa 0048952710,SESAU-GECOMP,0036.005381/2024-91
Relatório PAS 2024 (0048952721),SESAU-GECOMP,0036.005381/2024-91
Estudo Técnico Preliminar (0048991827),SESAU-SDTECS,0036.005381/2024-91
Certidão 299 (0049002414),CAIS-GPES,0036.005381/2024-91
Despacho 0049002513,SESAU-GECOMP,0036.005381/2024-91
Despacho 0049024844,SESAU-GECOMP,0036.005381/2024-91
Informação 210 (0049023265),SESAU-GECOMP,0036.005381/2024-91
Informação 1972 (0049054946),SESAU-GECOMP,0036.005381/2024-91
Requisição 0049075574,SESAU-GECOMP,0036.005381/2024-91
Informação 2050 (0049162406),SESAU-GECOMP,0036.005381/2024-91
Despacho CRECSS - CONTROLE E AVALIAÇÃO (0049340701),SESAU-GECOMP,0036.005381/2024-91
Resolução 01 (0049338848),SESAU-GECOMP,0036.005381/2024-91
Manual de Gestão e Fiscalização de Contratos (0049338971),SESAU-GECOMP,0036.005381/2024-91
Termo de Referência 0049175802,SESAU-NRS,0036.005381/2024-91
III,SESAU-GECOMP,0036.005381/2024-91
SAMS 0049175861,CAIS-GPES,0036.005381/2024-91
Despacho 0049384594,SESAU-GECOMP,0036.005381/2024-91
Despacho 0049687991,HICD-DG,0036.005381/2024-91
Despacho 0049698285,HICD-GAF,0036.005381/2024-91
Despacho 0049734172,HICD-GAF,0036.005381/2024-91
Despacho 0049832384,HICD-GAF,0036.005381/2024-91
Despacho 0049870148,SESAU-GECOMP,0036.005381/2024-91
Despacho 0049873068,HICD-GAF,0036.005381/2024-91
Documento de Oficialização de Demanda 95 (0050509752),HICD-GAF,0036.005381/2024-91
Despacho 0050545449,SESAU-GECOMP,0036.005381/2024-91
Memorando 1122 (0050620028),SESAU-GECOMP,0036.005381/2024-91
Documento de Oficialização de Demanda 109 (0050808535),SESAU-GECOMP,0036.005381/2024-91
Despacho 0050809114,SESAU-GECOMP,0036.005381/2024-91
Informação 3422 (0050931741),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - PDF (0050940453),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - PDF (PJ) (0050940492),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - EXCEL (0050940524),SESAU-GECOMP,0036.005381/2024-91
Planilha Média Nacional - EXCEL (PJ) (0050940570),SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - PDF (0050944272),SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - PDF (PJ) (0050944296),SESAU-GECOMP,0036.005381/2024-91
IV,SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - EXCEL (0050944328),SESAU-GECOMP,0036.005381/2024-91
Planilha Contratos Anteriores - EXCEL (PJ) (0050944361),SESAU-GECOMP,0036.005381/2024-91
Relatório de Pesquisa de Preço (0050941124),SESAU-GECOMP,0036.005381/2024-91
Informação 3431 (0050945599),SESAU-GECOMP,0036.005381/2024-91
Informação 3443 (0050953390),SESAU-GECOMP,0036.005381/2024-91
Estudo Técnico Preliminar (0051041480),SESAU-GECOMP,0036.005381/2024-91
Mapa de Risco 26 (0048992334),SESAU-GECOMP,0036.005381/2024-91
Adendo Matriz de Riscos (0049002167),SESAU-GECOMP,0036.005381/2024-91
Certidão 409 (0051041607),SESAU-GECOMP,0036.005381/2024-91
Despacho 0051041771,SESAU-GECOMP,0036.005381/2024-91
Informação 3725 (0051238853),SESAU-GECOMP,0036.005381/2024-91
Requisição 0051308462,SESAU-GECOMP,0036.005381/2024-91
Informação 3881 (0051424787),SESAU-GECOMP,0036.005381/2024-91
Portaria 4477 - Marcos - Substituição (0051727700),SUPEL-CAP,0036.005381/2024-91
Termo de Referência 0051429193,SUPEL-CAP,0036.005381/2024-91
SAMS DESCONSIDERAR (0051429879),SUPEL-CA,0036.005381/2024-91
SAMS 0051779484,SUPEL-UPSILON,0036.005381/2024-91
Ofício 39592 (0051748786),SUPEL-UPSILON,0036.005381/2024-91
Análise 435 (0051808890),SUPEL-UPSILON,0036.005381/2024-91
Despacho 0051822111,SUPEL-ATP,0036.005381/2024-91
V,SUPEL-ASTEC,0036.005381/2024-91
Despacho 0051927990,SUPEL-ATP,0036.005381/2024-91
Análise 61 (0051940477),SESAU-GECOMP,0036.005381/2024-91
Informação 24 (0051942993),SESAU-GECOMP,0036.005381/2024-91
Despacho 0052005675,SESAU-GECOMP,0036.005381/2024-91
Despacho 0052256758,SESAU-GECOMP,0036.005381/2024-91
Parecer 3 (0052456319),SESAU-GECOMP,0036.005381/2024-91
0050.071690/2022-18,JPII-NAP,0050.071690/2022-18
I,JPII-NAP,0050.071690/2022-18
E-mail Solicitação de compra (0030265106),JPII-NAP,0050.071690/2022-18
Laudo Carrinho de anestesia (0030265287),JPII-NAP,0050.071690/2022-18
Carta EoS\EoL Drager (0030265545),JPII-NCOMP,0050.071690/2022-18
Despacho 0030268863,JPII-NCOMP,0050.071690/2022-18
Estudo Técnico MODELO ESTUDO TÉCNICO -JPII (0030287855),JPII-DGA,0050.071690/2022-18
Despacho 0030287861,JPII-NCOMP,0050.071690/2022-18
Estudo Técnico 0030764391,JPII-DGA,0050.071690/2022-18
Despacho 0030781353,JPII-NCOMP,0050.071690/2022-18
Despacho 0030786142,SESAU-GECOMP,0050.071690/2022-18
Despacho 0030801995,SESAU-NPPS,0050.071690/2022-18
Memorando 558 (0030914299),SESAU-GECOMP,0050.071690/2022-18
Informação 2744 (0031432477),HICD-DG,0050.071690/2022-18
Memorando 776 (0032188271),HB-DG,0050.071690/2022-18
Despacho 0032240484,AMI-COORD,0050.071690/2022-18
Despacho 0032240807,HC-DG,0050.071690/2022-18
Despacho 0032241353,HRE-DG,0050.071690/2022-18
Despacho 0032241829,COHREC-DG,0050.071690/2022-18
Declaração 0032242150,SESAU-HRB,0050.071690/2022-18
Despacho 0032242418,HB-GAD,0050.071690/2022-18
Estudo Técnico 0032281306,HB-NUPAT,0050.071690/2022-18
II,CEMETRON-DG,0050.071690/2022-18
Despacho 0032293430,CEMETRON-ASTEC,0050.071690/2022-18
Despacho 0032297639,HICD-GAF,0050.071690/2022-18
Despacho 0032318884,CEMETRON-DGM,0050.071690/2022-18
Despacho 0032340389,HRSF-ASTEC,0050.071690/2022-18
Despacho 0032350355,HB-GAD,0050.071690/2022-18
Despacho 0032353317,COHREC-COAD,0050.071690/2022-18
Despacho 0032363288,SESAU-GECOMP,0050.071690/2022-18
Despacho 0032401332,HRE-GAD,0050.071690/2022-18
Despacho 0032834985,HC-GAD,0050.071690/2022-18
Memorando 902 (0032957660),SESAU-GECOMP,0050.071690/2022-18
Despacho 0033018642,SESAU-GECOMP,0050.071690/2022-18
Despacho 0032756572,SESAU-HRB,0050.071690/2022-18
Informação 807 (0033156232),SESAU-GECOMP,0050.071690/2022-18
Despacho 0033158640,SESAU-GECOMP,0050.071690/2022-18
Despacho 0033450041,SESAU-GECOMP,0050.071690/2022-18
Informação 970 (0033775123),SESAU-GECOMP,0050.071690/2022-18
Estudo Técnico 0033872598,SESAU-GECOMP,0050.071690/2022-18
Informação 1033 (0034004650),SESAU-CO,0050.071690/2022-18
Informação 1061 (0034098582),SESAU-CDI,0050.071690/2022-18
Informação 1169 (0034454162),SESAU-GECOMP,0050.071690/2022-18
III,SESAU-GECOMP,0050.071690/2022-18
Parecer 13 (0035179974),SESAU-GECOMP,0050.071690/2022-18
0036.088160/2022-89,SESAU-GECOMP,0050.071690/2022-18
Informação 178 (0035442082),SESAU-GECOMP,0050.071690/2022-18
Estudo Técnico 0035720783,SESAU-GECOMP,0050.071690/2022-18
Informação 306 (0035761233),SESAU-GECOMP,0050.071690/2022-18
Informação 358 (0035904297),SESAU-GECOMP,0050.071690/2022-18
Memorando 537 (0038056108),SESAU-GECOMP,0050.071690/2022-18
Autorização 0038056148,HB-DG,0050.071690/2022-18
Termo de Referência 0035947958,SESAU-GECOMP,0050.071690/2022-18
Informação 409 (0036134911),SESAU-GECOMP,0050.071690/2022-18
Informação 440 (0036288675),SESAU-GECOMP,0050.071690/2022-18
Informação 6 (0036360601),HRSF-ASTEC,0050.071690/2022-18
Despacho 0037355168,SESAU-CDI,0050.071690/2022-18
Ofício 16000 DESCONSIDERAR (0038056993),SESAU-HRB,0050.071690/2022-18
Despacho 0038186060,HB-DG,0050.071690/2022-18
Despacho 0038228297,JPII-DG,0050.071690/2022-18
Memorando 195 (0038228919),HB-ASTEC,0050.071690/2022-18
Despacho 0038229633,SESAU-GECOMP,0050.071690/2022-18
Despacho 0038231814,SUPEL-CAP,0050.071690/2022-18
Despacho 0038381471,SUPEL-CAP,0050.071690/2022-18
IV,SUPEL-CA,0050.071690/2022-18
Despacho 0038394352,SUPEL-NP,0050.071690/2022-18
Ofício 27581 (0040060268),SUPEL-DELTA,0050.071690/2022-18
Análise 440 (0040085232),SUPEL-NP,0050.071690/2022-18
Despacho 0040076422,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0040110644,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0040125925,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0040247803,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0040265244,SESAU-GECOMP,0050.071690/2022-18
E-mail Solicitação de orçamento (0040829516),SESAU-CO,0050.071690/2022-18
Cotação Banco de Preço (0040905752),SESAU-GECOMP,0050.071690/2022-18
Quadro Comparativo de preço (0041062116),SUPEL-CAP,0050.071690/2022-18
Despacho 0041062368,SUPEL-NP,0050.071690/2022-18
Despacho 0041094354,SUPEL-NP,0050.071690/2022-18
Despacho 0041171013,SUPEL-NP,0050.071690/2022-18
Despacho 0041175527,SUPEL-DELTA,0050.071690/2022-18
Despacho 0041202180,SUPEL-NP,0050.071690/2022-18
Portaria nº 73/GAB/SUPEL (0041416136),PGE-SESAU,0050.071690/2022-18
Instrumento Convocatório PE 517/2023 (0041411298),PGE-SESAU,0050.071690/2022-18
Despacho 0041479560,PGE-ASSESADM,0050.071690/2022-18
Despacho 0041487670,SUPEL-NP,0050.071690/2022-18
V,SESAU-GECOMP,0050.071690/2022-18
Despacho 0041511201,SESAU-GECOMP,0050.071690/2022-18
Parecer 890 (0042069923),SESAU-CO,0050.071690/2022-18
Despacho 0042149938,SESAU-GECOMP,0050.071690/2022-18
Despacho 0042817814,SESAU-GECOMP,0050.071690/2022-18
Despacho 0042967834,SESAU-GECOMP,0050.071690/2022-18
Termo de Referência DESCONSIDERAR (0042988829),SESAU-GECOMP,0050.071690/2022-18
SAMS DESCONSIDERAR (0035947969),SUPEL-NP,0050.071690/2022-18
Despacho 0043503539,SUPEL-NP,0050.071690/2022-18
Termo de Referência DESCONSIDERAR (0043611652),SUPEL-NP,0050.071690/2022-18
Termo de Referência 0043667866,SUPEL-DELTA,0050.071690/2022-18
SAMS 0043613005,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0043080423,SUPEL-CPEAP,0050.071690/2022-18
Relação de Itens - ComprasGov (0043970438),SUPEL-NP,0050.071690/2022-18
Termo de Juntada 0043970503,SUPEL-NP,0050.071690/2022-18
Despacho 0043970950,SUPEL-NP,0050.071690/2022-18
Despacho 0044209307,SUPEL-NP,0050.071690/2022-18
Certidão 1171 (0044239371),SUPEL-NP,0050.071690/2022-18
Despacho 0044250212,SUPEL-NP,0050.071690/2022-18
Portaria nº 142/2023 - Designar Comissão (0043891493),SUPEL-DELTA,0050.071690/2022-18
Instrumento Convocatório 0043956513,SUPEL-CA,0050.071690/2022-18
VI,SUPEL-NP,0050.071690/2022-18
Ata de Registro de Preço - MINUTA (0041416877),SUPEL-NP,0050.071690/2022-18
Ata de Adesão - MINUTA (0041416915),SUPEL-NP,0050.071690/2022-18
Aviso de licitação 786 (0043965425),SUPEL-CA,0050.071690/2022-18
Despacho 0044089290,SUPEL-NA,0050.071690/2022-18
Despacho 0044311421,SUPEL-NA,0050.071690/2022-18
Despacho 0044313989,SUPEL-DELTA,0050.071690/2022-18
Publicação nos sites oficiais (0044463548),SESAU-GECOMP,0050.071690/2022-18
Certidão 956 (0044506668),SUPEL-NA,0050.071690/2022-18
Despacho 0044464719,SUPEL-NA,0050.071690/2022-18
Despacho 0044511884,SUPEL-NA,0050.071690/2022-18
"Pedido de Impugnação - JPL IMPORTAÇÃO, EXPORTAÇÃO E COM. DE EQUIPAMENTOS (0044574002)",SUPEL-NA,0050.071690/2022-18
Despacho 0044574038,SUPEL-NA,0050.071690/2022-18
Despacho 0044610944,SUPEL-DELTA,0050.071690/2022-18
Despacho 0044649216,SESAU-GECOMP,0050.071690/2022-18
Pedido de Esclarecimento - DRAGER INDÚSTRIA E COMÉRCIO LTDA (0044671671),SUPEL-NA,0050.071690/2022-18
Despacho 0044671679,SUPEL-NA,0050.071690/2022-18
Pedido de Esclarecimento - DRÄGER INDÚSTRIA E COMÉRCIO LTDA (0044685737),SESAU-CO,0050.071690/2022-18
Pedido de Esclarecimento - ProLife Equipamentos Médicos Ltda (0044685875),SUPEL-DELTA,0050.071690/2022-18
Despacho 0044686004,SESAU-GECOMP,0050.071690/2022-18
Despacho 0044697195,SUPEL-DELTA,0050.071690/2022-18
VII,SUPEL-DELTA,0050.071690/2022-18
Despacho 0044699275,SUPEL-NP,0050.071690/2022-18
Pedido de Impugnação - RIO MEDI COMÉRCIO ASSISTÊNCIA E REPRESENTAÇÃO (0044714380),SUPEL-NP,0050.071690/2022-18
Despacho 0044714415,SUPEL-DELTA,0050.071690/2022-18
Análise 49 (0044716792),SUPEL-NP,0050.071690/2022-18
Aviso 839 (0044771078),SUPEL-CA,0050.071690/2022-18
Adendo 0044816908,SESAU-GECOMP,0050.071690/2022-18
Publicação - Suspensão (0044772285),SUPEL-DELTA,0050.071690/2022-18
Publicação - Diof (0044772335),SUPEL-CPEAP,0050.071690/2022-18
Publicação do Aviso 839 (0044826477),SUPEL-CPEAP,0050.071690/2022-18
Certidão 6 (0044865349),SUPEL-CPEAP,0050.071690/2022-18
Despacho 0044772386,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0044826527,SUPEL-CPEAP,0050.071690/2022-18
Despacho 0044891541,SUPEL-CAP,0050.071690/2022-18
Despacho 0044937956,SESAU-GECOMP,0050.071690/2022-18
Despacho 0044967465,SESAU-CO,0050.071690/2022-18
Cotação ATA de registro cotação negativa (0045111460),SESAU-GECOMP,0050.071690/2022-18
Cotação SIGEM (0041090589),SUPEL-DELTA,0050.071690/2022-18
Cotação Banco de Preço-Atualizado (0045110753),SESAU-GECOMP,0050.071690/2022-18
Quadro Comparativo de preço-Atualizado (0045110075),SESAU-GECOMP,0050.071690/2022-18
Certidão 25 (0045111667),SESAU-GECOMP,0050.071690/2022-18
VIII,SUPEL-DELTA,0050.071690/2022-18
Despacho 0045119902,SUPEL-DELTA,0050.071690/2022-18
Despacho 0045191025,SUPEL-DELTA,0050.071690/2022-18
Despacho 0045240713,SUPEL-DELTA,0050.071690/2022-18
Despacho 0045241953,SUPEL-NA,0050.071690/2022-18
Despacho 0045992508,SUPEL-NA,0050.071690/2022-18
Termo de Referência 0045994498,SUPEL-NA,0050.071690/2022-18
SAMS 0045994937,SUPEL-NA,0050.071690/2022-18
Despacho 0046078716,SUPEL-NA,0050.071690/2022-18
Exame 0045886780,SUPEL-NA,0050.071690/2022-18
Publicação Exame de esclarecimento (0046267297),SUPEL-NA,0050.071690/2022-18
Despacho DESCONSIDERAR (0046267437),SUPEL-CAP,0050.071690/2022-18
Despacho 0046294624,SUPEL-DELTA,0050.071690/2022-18
E-mail de Resposta - (0046298025),SUPEL-DELTA,0050.071690/2022-18
E-mail de Resposta - (0046299981),SUPEL-DELTA,0050.071690/2022-18
E-mail de Resposta - (0046300368),SUPEL-DELTA,0050.071690/2022-18
E-mail de Resposta - (0046300692),SUPEL-DELTA,0050.071690/2022-18
E-mail de Resposta - (0046300922),SUPEL-CA,0050.071690/2022-18
Publicação da Resposta - Site Supel (0046301448),SUPEL-NP,0050.071690/2022-18
Termo de Juntada 0046301487,SUPEL-NP,0050.071690/2022-18
Despacho 0045297693,SUPEL-NP,0050.071690/2022-18
IX,SUPEL-CA,0050.071690/2022-18
Adendo 0046266394,SUPEL-NA,0050.071690/2022-18
Publicação Adendo I Compras.gov e Supel (0046266942),SUPEL-NA,0050.071690/2022-18
Edital + Adendo I (0046266989),SUPEL-NA,0050.071690/2022-18
Certidão 2 (0046266999),SUPEL-DELTA,0050.071690/2022-18
Despacho 0046267083,SESAU-GECOMP,0050.071690/2022-18
Despacho 0046269187,SUPEL-DELTA,0050.071690/2022-18
Publicação (0046320748),SUPEL-CPEAP,0050.071690/2022-18
Despacho 0046320847,SUPEL-DELTA,0050.071690/2022-18
Certidão 456 (0046347676),SUPEL-DELTA,0050.071690/2022-18
Despacho 0046354512,SUPEL-DELTA,0050.071690/2022-18
Pedido de Esclarecimento - DRAGER DO BRASIL LTDA (0046641391),SUPEL-NA,0050.071690/2022-18
Pedido de Esclarecimento - RIO MEDI COMÉRCIO (0046641002),SUPEL-NA,0050.071690/2022-18
Despacho 0046641664,SUPEL-NA,0050.071690/2022-18
Despacho 0046650879,SUPEL-NA,0050.071690/2022-18
Despacho 0046661786,SUPEL-DELTA,0050.071690/2022-18
Despacho 0046686320,SUPEL-CA,0050.071690/2022-18
Despacho 0046694319,SUPEL-NP,0050.071690/2022-18
Exame 0046711829,SUPEL-NP,0050.071690/2022-18
Publicação Exame Compras.gov e Supel (0046730655),SUPEL-NP,0050.071690/2022-18
Despacho 0046730697,SUPEL-NP,0050.071690/2022-18
X,SUPEL-NP,0050.071690/2022-18
E-mail de Resposta - (0046737781),SUPEL-NP,0050.071690/2022-18
E-mail de Resposta - (0046738072),SESAU-GECOMP,0050.071690/2022-18
Publicação da Resposta - Site Supel (0046738506),SESAU-CO,0050.071690/2022-18
Termo de Juntada 0046738818,SESAU-GECOMP,0050.071690/2022-18
Despacho 0046843761,SUPEL-NP,0050.071690/2022-18
Despacho 0046845189,SUPEL-DELTA,0050.071690/2022-18
Proposta - BGF COMERCIAL LTDA (0046849600),SUPEL-DELTA,0050.071690/2022-18
Proposta - N.A COMERCIO DE EQUIPAMENTOS HOSPITALARES LTDA (0046851332),SESAU-GECOMP,0050.071690/2022-18
Proposta - M V R DE SOUZA COMERCIO ATACADISTA LTDA (0046851408),SESAU-CO,0050.071690/2022-18
Termo de Juntada 0046852704,SESAU-GECOMP,0050.071690/2022-18
Despacho 0046852746,SUPEL-NA,0050.071690/2022-18
Certidão 620 (0047007041),SUPEL-NA,0050.071690/2022-18
Despacho 0047087221,SUPEL-DELTA,0050.071690/2022-18
Parecer 32 (0047154308),SUPEL-DELTA,0050.071690/2022-18
Despacho 0047304576,SUPEL-DELTA,0050.071690/2022-18
Despacho 0047308539,SUPEL-DELTA,0050.071690/2022-18
Prospecto N.A COMERCIO DE EQUIPAMENTOS HOSPITALARES LTDA (0047453200),SUPEL-DELTA,0050.071690/2022-18
Despacho 0047453224,SUPEL-DELTA,0050.071690/2022-18
Despacho 0047475840,SUPEL-CA,0050.071690/2022-18
Parecer 38 (0047507632),SUPEL-NP,0050.071690/2022-18
XI,SUPEL-NP,0050.071690/2022-18
Despacho 0048247591,SUPEL-NP,0050.071690/2022-18
Catálogo correto empresa - N.A COMERCIO (0048391443),SUPEL-NP,0050.071690/2022-18
Despacho 0048391950,SUPEL-NP,0050.071690/2022-18
Publicação Análise técnica Compras.gov e Supel (0048633253),SUPEL-CAP,0050.071690/2022-18
Documentos de Habilitação I BGF COMERCIAL LTDA (0048631287),SUPEL-DELTA,0050.071690/2022-18
Documentos de Habilitação II BGF COMERCIAL LTDA (0048630915),SUPEL-DELTA,0050.071690/2022-18
Informação de continuidade da Sessão (0048634516),SUPEL-CAP,0050.071690/2022-18
Ata e Anexos (0048696910),SUPEL-GCF,0050.071690/2022-18
Despacho 0048696928,SESAU-GECOMP,0050.071690/2022-18
Despacho 0048710117,SESAU-NAP,0050.071690/2022-18
Relatório Final (0048736842),SESAU-NAP,0050.071690/2022-18
Relatório das Publicações (0048736897),SESAU-NAP,0050.071690/2022-18
Certidão 1057 (0048736981),SESAU-NAP,0050.071690/2022-18
Despacho 0048737658,SESAU-NAP,0050.071690/2022-18
Certidão 1070 (0048815219),SESAU-NAP,0050.071690/2022-18
Despacho 0048839928,SUPEL-DELTA,0050.071690/2022-18
Termo Adjudicação II retificado (0049158084),SESAU-GECOMP,0050.071690/2022-18
Despacho 0049158399,SESAU-CO,0050.071690/2022-18
Despacho 0049192915,SESAU-GECOMP,0050.071690/2022-18
Despacho 0049360214,SUPEL-DELTA,0050.071690/2022-18
XII,SUPEL-DELTA,0050.071690/2022-18
Despacho 0049332926,SUPEL-DELTA,0050.071690/2022-18
Análise 213 (0049776966),SUPEL-DELTA,0050.071690/2022-18
Termo de Homologação 0049777060,SUPEL-DELTA,0050.071690/2022-18
Publicação DO TERMO DE HOMOLOGAÇÃO DIOF (0049777118),SUPEL-DELTA,0050.071690/2022-18
Publicação Homologação ComprasNet (0049777195),SUPEL-DELTA,0050.071690/2022-18
Despacho 0049777235,SUPEL-DELTA,0050.071690/2022-18
Anexo consultarSituacaoFornecedor_37650759000120_2024-0 (0049782102),SUPEL-DELTA,0050.071690/2022-18
Despacho 0049548059,SUPEL-DELTA,0050.071690/2022-18
Despacho 0049701990,SUPEL-ASTEC,0050.071690/2022-18
Parecer 65 (0049730062),SUPEL-DELTA,0050.071690/2022-18
Despacho 0049732131,SUPEL-NA,0050.071690/2022-18
Aviso 411 (0049893976),SUPEL-NA,0050.071690/2022-18
Publicação - Retorno à Fase Compras.gov e supel (0049894656),SUPEL-DELTA,0050.071690/2022-18
