Documento,Setor,Processo,Protocolo
Despacho 0048314431,SUPEL-CAP,0036.109115/2022-75,0048314431
Despacho 0048331424,SUPEL-CA,0036.109115/2022-75,0048331424
Despacho 0048358213,SUPEL-UPSILON,0036.109115/2022-75,0048358213
Despacho 0048386580,SUPEL-UPSILON,0036.109115/2022-75,0048386580
Despacho 0048451128,SUPEL-UPSILON,0036.109115/2022-75,0048451128
Despacho 0048452468,PGE-SESAU,0036.109115/2022-75,0048452468
Despacho 0049338190,PGE-SESAU,0036.109115/2022-75,0049338190
Informação 2465 (0049340475),SESAU-GECOMP,0036.109115/2022-75,0049340475
Declaração de Adequação Financeira 0048747465,SUPEL-GAB,0036.109115/2022-75,0048747465
Despacho 0049537438,SUPEL-CA,0036.109115/2022-75,0049537438
Despacho 0049628307,SUPEL-CA,0036.109115/2022-75,0049628307
Despacho 0049685934,SESAU-GECOMP,0036.109115/2022-75,0049685934
Instrumento Convocatório 0049699669,PGE-ASSESADM,0036.109115/2022-75,0049699669
Despacho 0049703369,SESAU-GECOMP,0036.109115/2022-75,0049703369
Certidão 43 (0049786273),SESAU-GECOMP,0036.109115/2022-75,0049786273
Parecer 405 (0050173087),SESAU-GECOMP,0036.109115/2022-75,0050173087
Despacho 0050349488,HB-DG,0036.109115/2022-75,0050349488
Ofício 33801 (0050842358),HRC-DG,0036.109115/2022-75,0050842358
Informação 91 (0050879606),COHREC-COAD,0036.109115/2022-75,0050879606
Informação 147 (0050918289),HC-GAD,0036.109115/2022-75,0050918289
Despacho 0050918478,HC-GAD,0036.109115/2022-75,0050918478
Despacho 0050919029,COHREC-NTRAN,0036.109115/2022-75,0050919029
Informação 3491 (0050994731),COHREC-NTRAN,0036.109115/2022-75,0050994731
Despacho 0051012531,COHREC-NTRAN,0036.109115/2022-75,0051012531
Certidão 438 (0051271369),COHREC-NTRAN,0036.109115/2022-75,0051271369
Informação 3825 (0051354702),COHREC-NTRAN,0036.109115/2022-75,0051354702
Memorando 1269 (0051474942),COHREC-COAD,0036.109115/2022-75,0051474942
Despacho 0051495305,JPII-DG,0036.109115/2022-75,0051495305
Despacho 0051495411,JPII-GAD,0036.109115/2022-75,0051495411
Despacho 0051506662,AMI-COORD,0036.109115/2022-75,0051506662
Documento de Oficialização de Demanda 43 (0051521020),JPII-GAD,0036.109115/2022-75,0051521020
Anexo ESTATÍSTICAS HRRO (0051568488),SESAU-HRB,0036.109115/2022-75,0051568488
Documento de Oficialização de Demanda 2 (0051551667),HEURO-ASGAB,0036.109115/2022-75,0051551667
Anexo Planilhas 2022 (0051551983),HRSF-ASTEC,0036.109115/2022-75,0051551983
Anexo Planilhas 2023 (0051551979),SAMD-COORD,0036.109115/2022-75,0051551979
Anexo Planilhas 2024 (0051551987),HB-GAB,0036.109115/2022-75,0051551987
Despacho 0051563501,HRE-DG,0036.109115/2022-75,0051563501
Despacho 0051569381,SESAU-GECOMP,0036.109115/2022-75,0051569381
Despacho 0051569402,SESAU-GECOMP,0036.109115/2022-75,0051569402
Certidão 9 (0051594473),SESAU-GECOMP,0036.109115/2022-75,0051594473
Despacho AMI (0051610397),SESAU-GECOMP,0036.109115/2022-75,0051610397
Documento de Oficialização de Demanda 55 (0051591475),SESAU-GECOMP,0036.109115/2022-75,0051591475
Despacho 0051576523,SESAU-GECOMP,0036.109115/2022-75,0051576523
Documento de Oficialização de Demanda 16 (0051543412),SESAU-GECOMP,0036.109115/2022-75,0051543412
Documento de Oficialização de Demanda 54 (0051587813),SESAU-GECOMP,0036.109115/2022-75,0051587813
Documento de Oficialização de Demanda 21 (0051604933),HICD-GAF,0036.109115/2022-75,0051604933
Documento de Oficialização de Demanda 7 (0051612905),SESAU-GECOMP,0036.109115/2022-75,0051612905
Documento de Oficialização de Demanda 10 HOSPITAL DE BASE DR. ARY PINHEIRO (0051624095),SESAU-GECOMP,0036.109115/2022-75,0051624095
Documento de Oficialização de Demanda 21 (0051670405),SESAU-GECOMP,0036.109115/2022-75,0051670405
SAMS 0051842207,POC-DG,0036.109115/2022-75,0051842207
Informação 4135 (0051843903),POC-GAD,0036.109115/2022-75,0051843903
Planilha de Referência - DESCONSIDERAR (0051959554),SESAU-GECOMP,0036.109115/2022-75,0051959554
Planilha de Referência - DESCONSIDERAR (0051959612),SESAU-GECOMP,0036.109115/2022-75,0051959612
Informação 4210 (0051959925),SESAU-GECOMP,0036.109115/2022-75,0051959925
Estudo Técnico Preliminar (0051972848),SESAU-GECOMP,0036.109115/2022-75,0051972848
Mapa de Risco 117 (0051974327),SESAU-GECOMP,0036.109115/2022-75,0051974327
Informação 3895 (0051461483),SESAU-GECOMP,0036.109115/2022-75,0051461483
Documento de Oficialização de Demanda 126 (0052088722),SESAU-GECOMP,0036.109115/2022-75,0052088722
SAMS 0052099184,SESAU-GECOMP,0036.109115/2022-75,0052099184
Informação 4316 (0052099530),SESAU-GECOMP,0036.109115/2022-75,0052099530
Despacho 0052111757,SESAU-GECOMP,0036.109115/2022-75,0052111757
Despacho 0052117292,SESAU-GECOMP,0036.109115/2022-75,0052117292
Documento de Oficialização de Demanda 27 (0052185931),SESAU-GECOMP,0036.109115/2022-75,0052185931
Planilha de Referência - PDF (0052186932),SESAU-GECOMP,0036.109115/2022-75,0052186932
Planilha de Referência - EXCEL (0052186942),SESAU-GECOMP,0036.109115/2022-75,0052186942
Cotação de Referência (0051959664),SESAU-NEOR,0036.109115/2022-75,0051959664
Informação 4351 (0052186972),SESAU-GECOMP,0036.109115/2022-75,0052186972
Estudo Técnico Preliminar (0052235256),SESAU-GECOMP,0036.109115/2022-75,0052235256
Certidão 449 (0051459601),SESAU-GECOMP,0036.109115/2022-75,0051459601
Informação 4386 (0052235292),SESAU-GECOMP,0036.109115/2022-75,0052235292
Estudo Técnico Preliminar (0052519133),SESAU-GECOMP,0036.109115/2022-75,0052519133
Certidão 516 (0052519141),SESAU-GECOMP,0036.109115/2022-75,0052519141
Informação 4610 (0052519273),SESAU-GECOMP,0036.109115/2022-75,0052519273
Requisição 0051110183,SESAU-GECOMP,0036.109115/2022-75,0051110183
Informação 4735 (0052723398),SESAU-GECOMP,0036.109115/2022-75,0052723398
Manual de Gestão e Fiscalização de Contratos (0052771529),SESAU-GECOMP,0036.109115/2022-75,0052771529
Despacho 0052727457,SESAU-GECOMP,0036.109115/2022-75,0052727457
Despacho 0052866663,SESAU-GECOMP,0036.109115/2022-75,0052866663
Termo de Abertura 0046607385,SESAU-NRS,0036.005381/2024-91,0046607385
Memorando 34 (0045744435),HICD-GAF,0036.005381/2024-91,0045744435
Despacho 0046350156,SESAU-GECOMP,0036.005381/2024-91,0046350156
Documento de Oficialização de Demanda 22 (0046750919),SESAU-NPPS,0036.005381/2024-91,0046750919
Memorando 294 (0047287533),SESAU-GECOMP,0036.005381/2024-91,0047287533
Informação 1517 (0047335049),SESAU-SDTECS,0036.005381/2024-91,0047335049
Memorando 295 (0047288498),HICD-GAF,0036.005381/2024-91,0047288498
Despacho 0047358726,CAIS-GPES,0036.005381/2024-91,0047358726
Errata 0048087063,CAIS-GPES,0036.005381/2024-91,0048087063
Parecer 55 (0048485438),SESAU-GECOMP,0036.005381/2024-91,0048485438
Errata 0048837869,SESAU-GECOMP,0036.005381/2024-91,0048837869
Justificativa 0048722847,SESAU-GECOMP,0036.005381/2024-91,0048722847
Memorando 654 (0048700048),SESAU-GECOMP,0036.005381/2024-91,0048700048
Autorização 0048700021,SESAU-GECOMP,0036.005381/2024-91,0048700021
Planilha Média Nacional - PDF (DESCONSIDERAR) (0048844662),SESAU-GECOMP,0036.005381/2024-91,0048844662
Planilha Média Nacional - PDF (PJ) - (DESCONSIDERAR) (0048844724),SESAU-GECOMP,0036.005381/2024-91,0048844724
Planilha Média Nacional - EXCEL - (DESCONSIDERAR) (0048844780),SESAU-GECOMP,0036.005381/2024-91,0048844780
Planilha Média Nacional - EXCEL (PJ) - (DESCONSIDERAR) (0048844820),SESAU-GECOMP,0036.005381/2024-91,0048844820
Planilha Contratos Anteriores - PDF - (DESCONSIDERAR) (0048844858),SESAU-GECOMP,0036.005381/2024-91,0048844858
Planilha Contratos Anteriores - PDF (PJ) - (DESCONSIDERAR) (0048844889),SESAU-GECOMP,0036.005381/2024-91,0048844889
Planilha Contratos Anteriores - EXCEL - (DESCONSIDERAR) (0048844933),SESAU-GECOMP,0036.005381/2024-91,0048844933
Planilha Contratos Anteriores - EXCEL (PJ) - (DESCONSIDERAR (0048844978),SESAU-GECOMP,0036.005381/2024-91,0048844978
Relatório de Pesquisa de Preço - (DESCONSIDERAR) (0048845026),SESAU-GECOMP,0036.005381/2024-91,0048845026
Informação 1820 (0048846067),SESAU-GECOMP,0036.005381/2024-91,0048846067
Portaria n° 2550 de 16 de abril de 2024 (0048927062),SESAU-GECOMP,0036.005381/2024-91,0048927062
Portaria n°1464 de 05 de março de 2024 (0048927106),SESAU-GECOMP,0036.005381/2024-91,0048927106
Justificativa 0048952710,SESAU-GECOMP,0036.005381/2024-91,0048952710
Relatório PAS 2024 (0048952721),SESAU-GECOMP,0036.005381/2024-91,0048952721
Estudo Técnico Preliminar (0048991827),SESAU-SDTECS,0036.005381/2024-91,0048991827
Certidão 299 (0049002414),CAIS-GPES,0036.005381/2024-91,0049002414
Despacho 0049002513,SESAU-GECOMP,0036.005381/2024-91,0049002513
Despacho 0049024844,SESAU-GECOMP,0036.005381/2024-91,0049024844
Informação 210 (0049023265),SESAU-GECOMP,0036.005381/2024-91,0049023265
Informação 1972 (0049054946),SESAU-GECOMP,0036.005381/2024-91,0049054946
Requisição 0049075574,SESAU-GECOMP,0036.005381/2024-91,0049075574
Informação 2050 (0049162406),SESAU-GECOMP,0036.005381/2024-91,0049162406
Despacho CRECSS - CONTROLE E AVALIAÇÃO (0049340701),SESAU-GECOMP,0036.005381/2024-91,0049340701
Resolução 01 (0049338848),SESAU-GECOMP,0036.005381/2024-91,0049338848
Manual de Gestão e Fiscalização de Contratos (0049338971),SESAU-GECOMP,0036.005381/2024-91,0049338971
Termo de Referência 0049175802,SESAU-NRS,0036.005381/2024-91,0049175802
SAMS 0049175861,CAIS-GPES,0036.005381/2024-91,0049175861
Despacho 0049384594,SESAU-GECOMP,0036.005381/2024-91,0049384594
Despacho 0049687991,HICD-DG,0036.005381/2024-91,0049687991
Despacho 0049698285,HICD-GAF,0036.005381/2024-91,0049698285
Despacho 0049734172,HICD-GAF,0036.005381/2024-91,0049734172
Despacho 0049832384,HICD-GAF,0036.005381/2024-91,0049832384
Despacho 0049870148,SESAU-GECOMP,0036.005381/2024-91,0049870148
Despacho 0049873068,HICD-GAF,0036.005381/2024-91,0049873068
Documento de Oficialização de Demanda 95 (0050509752),HICD-GAF,0036.005381/2024-91,0050509752
Despacho 0050545449,SESAU-GECOMP,0036.005381/2024-91,0050545449
Memorando 1122 (0050620028),SESAU-GECOMP,0036.005381/2024-91,0050620028
Documento de Oficialização de Demanda 109 (0050808535),SESAU-GECOMP,0036.005381/2024-91,0050808535
Despacho 0050809114,SESAU-GECOMP,0036.005381/2024-91,0050809114
Informação 3422 (0050931741),SESAU-GECOMP,0036.005381/2024-91,0050931741
Planilha Média Nacional - PDF (0050940453),SESAU-GECOMP,0036.005381/2024-91,0050940453
Planilha Média Nacional - PDF (PJ) (0050940492),SESAU-GECOMP,0036.005381/2024-91,0050940492
Planilha Média Nacional - EXCEL (0050940524),SESAU-GECOMP,0036.005381/2024-91,0050940524
Planilha Média Nacional - EXCEL (PJ) (0050940570),SESAU-GECOMP,0036.005381/2024-91,0050940570
Planilha Contratos Anteriores - PDF (0050944272),SESAU-GECOMP,0036.005381/2024-91,0050944272
Planilha Contratos Anteriores - PDF (PJ) (0050944296),SESAU-GECOMP,0036.005381/2024-91,0050944296
Planilha Contratos Anteriores - EXCEL (0050944328),SESAU-GECOMP,0036.005381/2024-91,0050944328
Planilha Contratos Anteriores - EXCEL (PJ) (0050944361),SESAU-GECOMP,0036.005381/2024-91,0050944361
Relatório de Pesquisa de Preço (0050941124),SESAU-GECOMP,0036.005381/2024-91,0050941124
Informação 3431 (0050945599),SESAU-GECOMP,0036.005381/2024-91,0050945599
Informação 3443 (0050953390),SESAU-GECOMP,0036.005381/2024-91,0050953390
Estudo Técnico Preliminar (0051041480),SESAU-GECOMP,0036.005381/2024-91,0051041480
Mapa de Risco 26 (0048992334),SESAU-GECOMP,0036.005381/2024-91,0048992334
Adendo Matriz de Riscos (0049002167),SESAU-GECOMP,0036.005381/2024-91,0049002167
Certidão 409 (0051041607),SESAU-GECOMP,0036.005381/2024-91,0051041607
Despacho 0051041771,SESAU-GECOMP,0036.005381/2024-91,0051041771
Informação 3725 (0051238853),SESAU-GECOMP,0036.005381/2024-91,0051238853
Requisição 0051308462,SESAU-GECOMP,0036.005381/2024-91,0051308462
Informação 3881 (0051424787),SESAU-GECOMP,0036.005381/2024-91,0051424787
Portaria 4477 - Marcos - Substituição (0051727700),SUPEL-CAP,0036.005381/2024-91,0051727700
Termo de Referência 0051429193,SUPEL-CAP,0036.005381/2024-91,0051429193
SAMS DESCONSIDERAR (0051429879),SUPEL-CA,0036.005381/2024-91,0051429879
SAMS 0051779484,SUPEL-UPSILON,0036.005381/2024-91,0051779484
Ofício 39592 (0051748786),SUPEL-UPSILON,0036.005381/2024-91,0051748786
Análise 435 (0051808890),SUPEL-UPSILON,0036.005381/2024-91,0051808890
Despacho 0051822111,SUPEL-ATP,0036.005381/2024-91,0051822111
Despacho 0051927990,SUPEL-ATP,0036.005381/2024-91,0051927990
Análise 61 (0051940477),SESAU-GECOMP,0036.005381/2024-91,0051940477
Informação 24 (0051942993),SESAU-GECOMP,0036.005381/2024-91,0051942993
Despacho 0052005675,SESAU-GECOMP,0036.005381/2024-91,0052005675
Despacho 0052256758,SESAU-GECOMP,0036.005381/2024-91,0052256758
Parecer 3 (0052456319),SESAU-GECOMP,0036.005381/2024-91,0052456319
E-mail Solicitação de compra (0030265106),JPII-NAP,0050.071690/2022-18,0030265106
Laudo Carrinho de anestesia (0030265287),JPII-NAP,0050.071690/2022-18,0030265287
Carta EoS\EoL Drager (0030265545),JPII-NCOMP,0050.071690/2022-18,0030265545
Despacho 0030268863,JPII-NCOMP,0050.071690/2022-18,0030268863
Estudo Técnico MODELO ESTUDO TÉCNICO -JPII (0030287855),JPII-DGA,0050.071690/2022-18,0030287855
Despacho 0030287861,JPII-NCOMP,0050.071690/2022-18,0030287861
Estudo Técnico 0030764391,JPII-DGA,0050.071690/2022-18,0030764391
Despacho 0030781353,JPII-NCOMP,0050.071690/2022-18,0030781353
Despacho 0030786142,SESAU-GECOMP,0050.071690/2022-18,0030786142
Despacho 0030801995,SESAU-NPPS,0050.071690/2022-18,0030801995
Memorando 558 (0030914299),SESAU-GECOMP,0050.071690/2022-18,0030914299
Informação 2744 (0031432477),HICD-DG,0050.071690/2022-18,0031432477
Memorando 776 (0032188271),HB-DG,0050.071690/2022-18,0032188271
Despacho 0032240484,AMI-COORD,0050.071690/2022-18,0032240484
Despacho 0032240807,HC-DG,0050.071690/2022-18,0032240807
Despacho 0032241353,HRE-DG,0050.071690/2022-18,0032241353
Despacho 0032241829,COHREC-DG,0050.071690/2022-18,0032241829
Declaração 0032242150,SESAU-HRB,0050.071690/2022-18,0032242150
Despacho 0032242418,HB-GAD,0050.071690/2022-18,0032242418
Estudo Técnico 0032281306,HB-NUPAT,0050.071690/2022-18,0032281306
Despacho 0032293430,CEMETRON-ASTEC,0050.071690/2022-18,0032293430
Despacho 0032297639,HICD-GAF,0050.071690/2022-18,0032297639
Despacho 0032318884,CEMETRON-DGM,0050.071690/2022-18,0032318884
Despacho 0032340389,HRSF-ASTEC,0050.071690/2022-18,0032340389
Despacho 0032350355,HB-GAD,0050.071690/2022-18,0032350355
Despacho 0032353317,COHREC-COAD,0050.071690/2022-18,0032353317
Despacho 0032363288,SESAU-GECOMP,0050.071690/2022-18,0032363288
Despacho 0032401332,HRE-GAD,0050.071690/2022-18,0032401332
Despacho 0032834985,HC-GAD,0050.071690/2022-18,0032834985
Memorando 902 (0032957660),SESAU-GECOMP,0050.071690/2022-18,0032957660
Despacho 0033018642,SESAU-GECOMP,0050.071690/2022-18,0033018642
Despacho 0032756572,SESAU-HRB,0050.071690/2022-18,0032756572
Informação 807 (0033156232),SESAU-GECOMP,0050.071690/2022-18,0033156232
Despacho 0033158640,SESAU-GECOMP,0050.071690/2022-18,0033158640
Despacho 0033450041,SESAU-GECOMP,0050.071690/2022-18,0033450041
Informação 970 (0033775123),SESAU-GECOMP,0050.071690/2022-18,0033775123
Estudo Técnico 0033872598,SESAU-GECOMP,0050.071690/2022-18,0033872598
Informação 1033 (0034004650),SESAU-CO,0050.071690/2022-18,0034004650
Informação 1061 (0034098582),SESAU-CDI,0050.071690/2022-18,0034098582
Informação 1169 (0034454162),SESAU-GECOMP,0050.071690/2022-18,0034454162
Parecer 13 (0035179974),SESAU-GECOMP,0050.071690/2022-18,0035179974
Informação 178 (0035442082),SESAU-GECOMP,0050.071690/2022-18,0035442082
Estudo Técnico 0035720783,SESAU-GECOMP,0050.071690/2022-18,0035720783
Informação 306 (0035761233),SESAU-GECOMP,0050.071690/2022-18,0035761233
Informação 358 (0035904297),SESAU-GECOMP,0050.071690/2022-18,0035904297
Memorando 537 (0038056108),SESAU-GECOMP,0050.071690/2022-18,0038056108
Autorização 0038056148,HB-DG,0050.071690/2022-18,0038056148
Termo de Referência 0035947958,SESAU-GECOMP,0050.071690/2022-18,0035947958
Informação 409 (0036134911),SESAU-GECOMP,0050.071690/2022-18,0036134911
Informação 440 (0036288675),SESAU-GECOMP,0050.071690/2022-18,0036288675
Informação 6 (0036360601),HRSF-ASTEC,0050.071690/2022-18,0036360601
Despacho 0037355168,SESAU-CDI,0050.071690/2022-18,0037355168
Ofício 16000 DESCONSIDERAR (0038056993),SESAU-HRB,0050.071690/2022-18,0038056993
Despacho 0038186060,HB-DG,0050.071690/2022-18,0038186060
Despacho 0038228297,JPII-DG,0050.071690/2022-18,0038228297
Memorando 195 (0038228919),HB-ASTEC,0050.071690/2022-18,0038228919
Despacho 0038229633,SESAU-GECOMP,0050.071690/2022-18,0038229633
Despacho 0038231814,SUPEL-CAP,0050.071690/2022-18,0038231814
Despacho 0038381471,SUPEL-CAP,0050.071690/2022-18,0038381471
Despacho 0038394352,SUPEL-NP,0050.071690/2022-18,0038394352
Ofício 27581 (0040060268),SUPEL-DELTA,0050.071690/2022-18,0040060268
Análise 440 (0040085232),SUPEL-NP,0050.071690/2022-18,0040085232
Despacho 0040076422,SUPEL-CPEAP,0050.071690/2022-18,0040076422
Despacho 0040110644,SUPEL-CPEAP,0050.071690/2022-18,0040110644
Despacho 0040125925,SUPEL-CPEAP,0050.071690/2022-18,0040125925
Despacho 0040247803,SUPEL-CPEAP,0050.071690/2022-18,0040247803
Despacho 0040265244,SESAU-GECOMP,0050.071690/2022-18,0040265244
E-mail Solicitação de orçamento (0040829516),SESAU-CO,0050.071690/2022-18,0040829516
Cotação Banco de Preço (0040905752),SESAU-GECOMP,0050.071690/2022-18,0040905752
Quadro Comparativo de preço (0041062116),SUPEL-CAP,0050.071690/2022-18,0041062116
Despacho 0041062368,SUPEL-NP,0050.071690/2022-18,0041062368
Despacho 0041094354,SUPEL-NP,0050.071690/2022-18,0041094354
Despacho 0041171013,SUPEL-NP,0050.071690/2022-18,0041171013
Despacho 0041175527,SUPEL-DELTA,0050.071690/2022-18,0041175527
Despacho 0041202180,SUPEL-NP,0050.071690/2022-18,0041202180
Portaria nº 73/GAB/SUPEL (0041416136),PGE-SESAU,0050.071690/2022-18,0041416136
Instrumento Convocatório PE 517/2023 (0041411298),PGE-SESAU,0050.071690/2022-18,0041411298
Despacho 0041479560,PGE-ASSESADM,0050.071690/2022-18,0041479560
Despacho 0041487670,SUPEL-NP,0050.071690/2022-18,0041487670
Despacho 0041511201,SESAU-GECOMP,0050.071690/2022-18,0041511201
Parecer 890 (0042069923),SESAU-CO,0050.071690/2022-18,0042069923
Despacho 0042149938,SESAU-GECOMP,0050.071690/2022-18,0042149938
Despacho 0042817814,SESAU-GECOMP,0050.071690/2022-18,0042817814
Despacho 0042967834,SESAU-GECOMP,0050.071690/2022-18,0042967834
Termo de Referência DESCONSIDERAR (0042988829),SESAU-GECOMP,0050.071690/2022-18,0042988829
SAMS DESCONSIDERAR (0035947969),SUPEL-NP,0050.071690/2022-18,0035947969
Despacho 0043503539,SUPEL-NP,0050.071690/2022-18,0043503539
Termo de Referência DESCONSIDERAR (0043611652),SUPEL-NP,0050.071690/2022-18,0043611652
Termo de Referência 0043667866,SUPEL-DELTA,0050.071690/2022-18,0043667866
SAMS 0043613005,SUPEL-CPEAP,0050.071690/2022-18,0043613005
Despacho 0043080423,SUPEL-CPEAP,0050.071690/2022-18,0043080423
Relação de Itens - ComprasGov (0043970438),SUPEL-NP,0050.071690/2022-18,0043970438
Termo de Juntada 0043970503,SUPEL-NP,0050.071690/2022-18,0043970503
Despacho 0043970950,SUPEL-NP,0050.071690/2022-18,0043970950
Despacho 0044209307,SUPEL-NP,0050.071690/2022-18,0044209307
Certidão 1171 (0044239371),SUPEL-NP,0050.071690/2022-18,0044239371
Despacho 0044250212,SUPEL-NP,0050.071690/2022-18,0044250212
Portaria nº 142/2023 - Designar Comissão (0043891493),SUPEL-DELTA,0050.071690/2022-18,0043891493
Instrumento Convocatório 0043956513,SUPEL-CA,0050.071690/2022-18,0043956513
Ata de Registro de Preço - MINUTA (0041416877),SUPEL-NP,0050.071690/2022-18,0041416877
Ata de Adesão - MINUTA (0041416915),SUPEL-NP,0050.071690/2022-18,0041416915
Aviso de licitação 786 (0043965425),SUPEL-CA,0050.071690/2022-18,0043965425
Despacho 0044089290,SUPEL-NA,0050.071690/2022-18,0044089290
Despacho 0044311421,SUPEL-NA,0050.071690/2022-18,0044311421
Despacho 0044313989,SUPEL-DELTA,0050.071690/2022-18,0044313989
Publicação nos sites oficiais (0044463548),SESAU-GECOMP,0050.071690/2022-18,0044463548
Certidão 956 (0044506668),SUPEL-NA,0050.071690/2022-18,0044506668
Despacho 0044464719,SUPEL-NA,0050.071690/2022-18,0044464719
Despacho 0044511884,SUPEL-NA,0050.071690/2022-18,0044511884
"Pedido de Impugnação - JPL IMPORTAÇÃO, EXPORTAÇÃO E COM. DE EQUIPAMENTOS (0044574002)",SUPEL-NA,0050.071690/2022-18,0044574002
Despacho 0044574038,SUPEL-NA,0050.071690/2022-18,0044574038
Despacho 0044610944,SUPEL-DELTA,0050.071690/2022-18,0044610944
Despacho 0044649216,SESAU-GECOMP,0050.071690/2022-18,0044649216
Pedido de Esclarecimento - DRAGER INDÚSTRIA E COMÉRCIO LTDA (0044671671),SUPEL-NA,0050.071690/2022-18,0044671671
Despacho 0044671679,SUPEL-NA,0050.071690/2022-18,0044671679
Pedido de Esclarecimento - DRÄGER INDÚSTRIA E COMÉRCIO LTDA (0044685737),SESAU-CO,0050.071690/2022-18,0044685737
Pedido de Esclarecimento - ProLife Equipamentos Médicos Ltda (0044685875),SUPEL-DELTA,0050.071690/2022-18,0044685875
Despacho 0044686004,SESAU-GECOMP,0050.071690/2022-18,0044686004
Despacho 0044697195,SUPEL-DELTA,0050.071690/2022-18,0044697195
Despacho 0044699275,SUPEL-NP,0050.071690/2022-18,0044699275
Pedido de Impugnação - RIO MEDI COMÉRCIO ASSISTÊNCIA E REPRESENTAÇÃO (0044714380),SUPEL-NP,0050.071690/2022-18,0044714380
Despacho 0044714415,SUPEL-DELTA,0050.071690/2022-18,0044714415
Análise 49 (0044716792),SUPEL-NP,0050.071690/2022-18,0044716792
Aviso 839 (0044771078),SUPEL-CA,0050.071690/2022-18,0044771078
Adendo 0044816908,SESAU-GECOMP,0050.071690/2022-18,0044816908
Publicação - Suspensão (0044772285),SUPEL-DELTA,0050.071690/2022-18,0044772285
Publicação - Diof (0044772335),SUPEL-CPEAP,0050.071690/2022-18,0044772335
Publicação do Aviso 839 (0044826477),SUPEL-CPEAP,0050.071690/2022-18,0044826477
Certidão 6 (0044865349),SUPEL-CPEAP,0050.071690/2022-18,0044865349
Despacho 0044772386,SUPEL-CPEAP,0050.071690/2022-18,0044772386
Despacho 0044826527,SUPEL-CPEAP,0050.071690/2022-18,0044826527
Despacho 0044891541,SUPEL-CAP,0050.071690/2022-18,0044891541
Despacho 0044937956,SESAU-GECOMP,0050.071690/2022-18,0044937956
Despacho 0044967465,SESAU-CO,0050.071690/2022-18,0044967465
Cotação ATA de registro cotação negativa (0045111460),SESAU-GECOMP,0050.071690/2022-18,0045111460
Cotação SIGEM (0041090589),SUPEL-DELTA,0050.071690/2022-18,0041090589
Cotação Banco de Preço-Atualizado (0045110753),SESAU-GECOMP,0050.071690/2022-18,0045110753
Quadro Comparativo de preço-Atualizado (0045110075),SESAU-GECOMP,0050.071690/2022-18,0045110075
Certidão 25 (0045111667),SESAU-GECOMP,0050.071690/2022-18,0045111667
Despacho 0045119902,SUPEL-DELTA,0050.071690/2022-18,0045119902
Despacho 0045191025,SUPEL-DELTA,0050.071690/2022-18,0045191025
Despacho 0045240713,SUPEL-DELTA,0050.071690/2022-18,0045240713
Despacho 0045241953,SUPEL-NA,0050.071690/2022-18,0045241953
Despacho 0045992508,SUPEL-NA,0050.071690/2022-18,0045992508
Termo de Referência 0045994498,SUPEL-NA,0050.071690/2022-18,0045994498
SAMS 0045994937,SUPEL-NA,0050.071690/2022-18,0045994937
Despacho 0046078716,SUPEL-NA,0050.071690/2022-18,0046078716
Exame 0045886780,SUPEL-NA,0050.071690/2022-18,0045886780
Publicação Exame de esclarecimento (0046267297),SUPEL-NA,0050.071690/2022-18,0046267297
Despacho DESCONSIDERAR (0046267437),SUPEL-CAP,0050.071690/2022-18,0046267437
Despacho 0046294624,SUPEL-DELTA,0050.071690/2022-18,0046294624
E-mail de Resposta - (0046298025),SUPEL-DELTA,0050.071690/2022-18,0046298025
E-mail de Resposta - (0046299981),SUPEL-DELTA,0050.071690/2022-18,0046299981
E-mail de Resposta - (0046300368),SUPEL-DELTA,0050.071690/2022-18,0046300368
E-mail de Resposta - (0046300692),SUPEL-DELTA,0050.071690/2022-18,0046300692
E-mail de Resposta - (0046300922),SUPEL-CA,0050.071690/2022-18,0046300922
Publicação da Resposta - Site Supel (0046301448),SUPEL-NP,0050.071690/2022-18,0046301448
Termo de Juntada 0046301487,SUPEL-NP,0050.071690/2022-18,0046301487
Despacho 0045297693,SUPEL-NP,0050.071690/2022-18,0045297693
Adendo 0046266394,SUPEL-NA,0050.071690/2022-18,0046266394
Publicação Adendo I Compras.gov e Supel (0046266942),SUPEL-NA,0050.071690/2022-18,0046266942
Edital + Adendo I (0046266989),SUPEL-NA,0050.071690/2022-18,0046266989
Certidão 2 (0046266999),SUPEL-DELTA,0050.071690/2022-18,0046266999
Despacho 0046267083,SESAU-GECOMP,0050.071690/2022-18,0046267083
Despacho 0046269187,SUPEL-DELTA,0050.071690/2022-18,0046269187
Publicação (0046320748),SUPEL-CPEAP,0050.071690/2022-18,0046320748
Despacho 0046320847,SUPEL-DELTA,0050.071690/2022-18,0046320847
Certidão 456 (0046347676),SUPEL-DELTA,0050.071690/2022-18,0046347676
Despacho 0046354512,SUPEL-DELTA,0050.071690/2022-18,0046354512
Pedido de Esclarecimento - DRAGER DO BRASIL LTDA (0046641391),SUPEL-NA,0050.071690/2022-18,0046641391
Pedido de Esclarecimento - RIO MEDI COMÉRCIO (0046641002),SUPEL-NA,0050.071690/2022-18,0046641002
Despacho 0046641664,SUPEL-NA,0050.071690/2022-18,0046641664
Despacho 0046650879,SUPEL-NA,0050.071690/2022-18,0046650879
Despacho 0046661786,SUPEL-DELTA,0050.071690/2022-18,0046661786
